Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,Domain
Kim S.; Seo M.-W.; Lee S.J.; Kang S.-J.,"Kim, Sanghyuk (57195959868); Seo, Min-Woo (57194181832); Lee, Seung Joon (57203597094); Kang, Suk-Ju (35088306400)",57195959868; 57194181832; 57203597094; 35088306400,Object tracking-based foveated super-resolution convolutional neural network for head mounted display,2018,"SIGGRAPH Asia 2018 Posters, SA 2018",,,3283325,,,,1,10.1145/3283289.3283325,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060149697&doi=10.1145%2f3283289.3283325&partnerID=40&md5=fe169d4f69a8051c355d8e5d03748a5a,"Recently, the immersive virtual reality (VR) environment using the head mounted display (HMD) has attracted attention as a new growth market due to the reasonable consumer price and high accessibility compared to other VR devices. However, users feel the cognitive heterogeneity caused by low resolution images, and hence, it is difficult to use it for a long time. To solve it, transmission techniques based on image resolution conversion have studied. In this paper, we propose a novel foveated super-resolution convolutional neural network (SRCNN) for HMD using an object tracking algorithm to reduce computation load for rendering high resolution images. We implement the object tracking on the region to compensate for a frame processing speed of eye-tracking devices, relatively slow to apply the resolution conversion. SRCNN applies to cognitive regions, and typical interpolation applies to other regions to reduce the rendering cost. As a result, the computation is decreased by 90.4059%, and PSNR is higher than the conventional foveated rendering algorithm. Copyright is held by the owner/author(s).",Deep neural network; Head mounted display; Object tracking; Super resolution,Convolution; Deep neural networks; Eye tracking; Image resolution; Interactive computer graphics; Neural networks; Optical resolving power; Rendering (computer graphics); Virtual reality; Convolutional neural network; Head mounted displays; Image resolution conversion; Immersive virtual reality; Object Tracking; Object tracking algorithm; Super resolution; Transmission techniques; Helmet mounted displays,Conference paper,Final,,Scopus,2-s2.0-85060149697,Gaming / VR
Xu Y.; Dong Y.; Wu J.; Sun Z.; Shi Z.; Yu J.; Gao S.,"Xu, Yanyu (57192081433); Dong, Yanbing (57193158532); Wu, Junru (57206989929); Sun, Zhengzhong (57207759513); Shi, Zhiru (56510716400); Yu, Jingyi (8569656400); Gao, Shenghua (35224747100)",57192081433; 57193158532; 57206989929; 57207759513; 56510716400; 8569656400; 35224747100,Gaze Prediction in Dynamic 360° Immersive Videos,2018,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,8578657,5333,5342,9.0,262,10.1109/CVPR.2018.00559,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061647977&doi=10.1109%2fCVPR.2018.00559&partnerID=40&md5=b38ffd0e5c42da06f5bc212c487fcf7d,"This paper explores gaze prediction in dynamic 360° immersive videos, i.e., based on the history scan path and VR contents, we predict where a viewer will look at an upcoming time. To tackle this problem, we first present the large-scale eye-tracking in dynamic VR scene dataset. Our dataset contains 208 360° videos captured in dynamic scenes, and each video is viewed by at least 31 subjects. Our analysis shows that gaze prediction depends on its history scan path and image contents. In terms of the image contents, those salient objects easily attract viewers' attention. On the one hand, the saliency is related to both appearance and motion of the objects. Considering that the saliency measured at different scales is different, we propose to compute saliency maps at different spatial scales: The sub-image patch centered at current gaze point, the sub-image corresponding to the Field of View (FoV), and the panorama image. Then we feed both the saliency maps and the corresponding images into a Convolutional Neural Network (CNN) for feature extraction. Meanwhile, we also use a Long-Short-Term-Memory (LSTM) to encode the history scan path. Then we combine the CNN features and LSTM features for gaze displacement prediction between gaze point at a current time and gaze point at an upcoming time. Extensive experiments validate the effectiveness of our method for gaze prediction in dynamic VR scenes. © 2018 IEEE.",,Computer vision; Eye tracking; Forecasting; Large dataset; Visual communication; Convolutional neural network; Displacement prediction; Dynamic scenes; Field of views; Image content; Panorama images; Salient objects; Spatial scale; Long short-term memory,Conference paper,Final,,Scopus,2-s2.0-85061647977,Gaming / VR
Probst E.; Dietrich M.; Suttner V.; Buehler T.,"Probst, Enzio (57212770899); Dietrich, Monja (57205729646); Suttner, Vincent (57205734031); Buehler, Theres (57205726205)",57212770899; 57205729646; 57205734031; 57205726205,Rapture of the Deep,2018,"SIGGRAPH Asia 2018 Virtual and Augmented Reality, SA 2018",,,a14,,,,7,10.1145/3275495.3275499,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061315493&doi=10.1145%2f3275495.3275499&partnerID=40&md5=0e833f36d2274813ebe34d84e392d949,                             Rapture of the Deep is an interactive Virtual Reality experience with eye tracking. The Experience is set in an underwater scenario using eye tracking as the main mechanism which allows the environment to react to the player's gaze and attention. In this project we worked with a retrofitted version of the HTC Vive headset with a complete Eye Tracking integration by Tobii                             1                              Pro and the Tobii Pro SDK for the Unity3D                             2                              Engine. Rapture of the Deep seeks to test how eye tracking technology can be employed as an attentive and invisible user interface allowing people to use reflexive and emotional behavior as a game controller.                          © 2018 Copyright held by the owner/author(s).,CCS CONCEPTS; Contact-less interaction; Eye Tracking; Immersion; User Experience; Virtual Reality,Augmented reality; Interactive computer graphics; User interfaces; Virtual reality; CCS CONCEPTS; Contact less; Emotional behavior; Eye tracking technologies; Game controller; Immersion; Interactive virtual reality; User experience; Eye tracking,Conference paper,Final,,Scopus,2-s2.0-85061315493,Gaming / VR
Wang S.; Wang Q.; Chen H.,"Wang, Shu (57205223038); Wang, Qing (59837474500); Chen, Hong (57050586300)",57205223038; 59837474500; 57050586300,Research and Application of Eye Movement Interaction based on Eye Movement Recognition,2018,MATEC Web of Conferences,246,,3038,,,,5,10.1051/matecconf/201824603038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059116476&doi=10.1051%2fmatecconf%2f201824603038&partnerID=40&md5=f9edb665cff91c0beb697f6bfda18fd5,"Generally, human-computer interaction is an interaction and operation between users and machine hardware. The user submits instructions to the machine, and the machine outputs the processed data and results to the user after receiving the instructions from the user. Mouse, keyboard, etc. are common input channels. With the maturity of eye tracking technology and the development of equipment miniaturization, turning eye movements into human-computer interaction input channels has become a hot spot in the field of human-computer interaction. Therefore, this paper analysed the physiological characteristics of eye movement, proposed the design principles and framework of eye movement interaction, and designed three kinds of eye movement recognition algorithms of fixation, saccade and blink. On this basis, using Unity 3D cross-platform development engine as a development tool, a children's attention training game application based on eye movement interaction is designed. The game is designed to combine eye movement interaction technology with attention training mode, simplify the control mode of the game, get attention feedback at the first time, achieve better training effect and improve the efficiency of human-computer interaction. © The Authors, published by EDP Sciences, 2018.",,Computer games; Computer hardware; Eye tracking; Human computer interaction; Mammals; Motion estimation; Waterworks; Cross platform development; Design Principles; Equipment miniaturization; Eye tracking technologies; Interaction technology; Movement recognition; Physiological characteristics; Research and application; Eye movements,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85059116476,Gaming / VR
Zaraki A.; Wood L.; Robins B.; Dautenhahn K.,"Zaraki, Abolfazl (35729920200); Wood, Luke (55629090000); Robins, Ben (8585983100); Dautenhahn, Kerstin (7003305185)",35729920200; 55629090000; 8585983100; 7003305185,Development of a Semi-Autonomous Robotic System to Assist Children with Autism in Developing Visual Perspective Taking Skills,2018,RO-MAN 2018 - 27th IEEE International Symposium on Robot and Human Interactive Communication,,,8525681,969,976,7.0,17,10.1109/ROMAN.2018.8525681,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058126824&doi=10.1109%2fROMAN.2018.8525681&partnerID=40&md5=d0d092f526c4eede51d458227fe68ff1,"Robot-assisted therapy has been successfully used to help children with Autism Spectrum Condition (ASC) develop their social skills, but very often with the robot being fully controlled remotely by an adult operator. Although this method is reliable and allows the operator to conduct a therapy session in a customised child-centred manner, it increases the cognitive workload on the human operator since it requires them to divide their attention between the robot and the child to ensure that the robot is responding appropriately to the child's behaviour. In addition, a remote-controlled robot is not aware of the information regarding the interaction with children (e.g., body gesture and head pose, proximity etc) and consequently it does not have the ability to shape live HRIs. Further to this, a remote-controlled robot typically does not have the capacity to record this information and additional effort is required to analyse the interaction data. For these reasons, using a remote-controlled robot in robot-assisted therapy may be unsustainable for long-term interactions. To lighten the cognitive burden on the human operator and to provide a consistent therapeutic experience, it is essential to create some degrees of autonomy and enable the robot to perform some autonomous behaviours during interactions with children. Our previous research with the Kaspar robot either implemented a fully autonomous scenario involving pairs of children, which then lacked the often important input of the supervising adult, or, in most of our research, has used a remote control in the hand of the adult or the children to operate the robot. Alternatively, this paper provides an overview of the design and implementation of a robotic system called Sense- Think-Act which converts the remote-controlled scenarios of our humanoid robot into a semi-autonomous social agent with the capacity to play games autonomously (under human supervision) with children in the real-world school settings. The developed system has been implemented on the humanoid robot Kaspar and evaluated in a trial with four children with ASC at a local specialist secondary school in the UK where the data of 11 Child-Robot Interactions (CRIs) was collected. The results from this trial demonstrated that the system was successful in providing the robot with appropriate control signals to operate in a semi-autonomous manner without any latency, which supports autonomous CRIs, suggesting that the proposed architecture appears to have promising potential in supporting CRIs for real-world applications. © 2018 IEEE.",,Anthropomorphic robots; Control theory; Diseases; Machine design; Personnel; Remote control; Robotics; Sounding apparatus; Autonomous robotic systems; Child-robot interactions; Children with autisms; Design and implementations; Long-term interaction; Proposed architectures; Remote-controlled robots; Robot-assisted therapies; Human robot interaction,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85058126824,Gaming / VR
Hömke P.; Holler J.; Levinson S.C.,"Hömke, Paul (56028249400); Holler, Judith (22979583800); Levinson, Stephen C. (8847256300)",56028249400; 22979583800; 8847256300,Eye blinks are perceived as communicative signals in human face-to-face interaction,2018,PLoS ONE,13,12,e0208030,,,,64,10.1371/journal.pone.0208030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058468626&doi=10.1371%2fjournal.pone.0208030&partnerID=40&md5=e9d0475d41ed7a3a4ade86a85dedcb6e,"In face-to-face communication, recurring intervals of mutual gaze allow listeners to provide speakers with visual feedback (e.g. nodding). Here, we investigate the potential feedback function of one of the subtlest of human movements—eye blinking. While blinking tends to be subliminal, the significance of mutual gaze in human interaction raises the question whether the interruption of mutual gaze through blinking may also be communicative. To answer this question, we developed a novel, virtual reality-based experimental paradigm, which enabled us to selectively manipulate blinking in a virtual listener, creating small differences in blink duration resulting in ‘short’ (208 ms) and ‘long’ (607 ms) blinks. We found that speakers unconsciously took into account the subtle differences in listeners’ blink duration, producing substantially shorter answers in response to long listener blinks. Our findings suggest that, in addition to physiological, perceptual and cognitive functions, listener blinks are also perceived as communicative signals, directly influencing speakers’ communicative behavior in face-to-face communication. More generally, these findings may be interpreted as shedding new light on the evolutionary origins of mental-state signaling, which is a crucial ingredient for achieving mutual understanding in everyday social interaction. © 2018 Hömke et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,"Adult; Blinking; Communication; Empathy; Facial Recognition; Feedback, Sensory; Female; Healthy Volunteers; Humans; Male; Photic Stimulation; Psycholinguistics; Reaction Time; Verbal Behavior; Virtual Reality; Young Adult; article; blinking; cognition; eye movement; face; gaze; human; human experiment; mental health; signal transduction; social interaction; virtual reality; adult; empathy; facial recognition; female; interpersonal communication; male; normal human; photostimulation; physiology; procedures; psycholinguistics; reaction time; sensory feedback; verbal behavior; young adult",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85058468626,Gaming / VR
Yim M.Y.-C.; Abdourazakou Y.; Sauer P.L.; Park S.-Y.,"Yim, Mark Yi-Cheon (55914652400); Abdourazakou, Yann (57196049132); Sauer, Paul L. (7102773950); Park, Sun-Young (57191612660)",55914652400; 57196049132; 7102773950; 57191612660,Modelling the dimensionality effects on brand placement effectiveness in stereoscopic 3-D versus 2-D sports games,2018,International Journal of Advertising,37,6,,958,983,25.0,15,10.1080/02650487.2017.1347366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031420801&doi=10.1080%2f02650487.2017.1347366&partnerID=40&md5=8083767187fe6c116fd13f91757b23d4,"This current study explores how stereoscopic three-dimensional (3-D) dimensionality affects the process by which viewers’ memory of brand names embedded in a soccer game is formed compared to the memory process in traditional 2-D display. To this end, we conduct two studies: a qualitative observation using an eye tracker; and an experiment to identify the difference and similarity of the viewing process across these two display technologies. Statistical test results reveal that sports involvement enhances viewers’ attention to a sports game, which is moderated by game enjoyment and negative viewing experience generated from the media features. Most importantly, it is found that as viewers pay more attention to a sports game in stereoscopic 3-D display, they are less likely to remember the brands embedded in the stadium, while the opposite is found in 2-D display. More findings and implications are discussed in the discussion section. © 2017, © 2017 Advertising Association.",brand placement; Dimensionality; sports involvement; stereoscopic 3-D,,Article,Final,,Scopus,2-s2.0-85031420801,Gaming / VR
Bourgeois A.; Badier E.; Baron N.; Carruzzo F.; Vuilleumier P.,"Bourgeois, Alexia (54942986700); Badier, Emmanuel (55496534500); Baron, Naem (56258963900); Carruzzo, Fabien (57204933522); Vuilleumier, Patrik (57200075380)",54942986700; 55496534500; 56258963900; 57204933522; 57200075380,Influence of reward learning on visual attention and eye movements in a naturalistic environment: A virtual reality study,2018,PLoS ONE,13,12,e0207990,,,,15,10.1371/journal.pone.0207990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058002614&doi=10.1371%2fjournal.pone.0207990&partnerID=40&md5=a09fc135a143b758a457603057d5533b,"Rewards constitute crucial signals that motivate approach behavior and facilitate the perceptual processing of objects associated with favorable outcomes in past encounters. Reward-related influences on perception and attention have been reliably observed in studies where a reward is paired with a unidimensional low-level visual feature, such as the color or orientation of a line in visual search tasks. However, our environment is drastically different and composed of multidimensional and changing visual features, encountered in complex and dynamic scenes. Here, we designed an immersive virtual reality (VR) experiment using a 4-frame CAVE system to investigate the impact of rewards on attentional orienting and gaze patterns in a naturalistic and ecological environment. Forty-one healthy participants explored a virtual forest and responded to targets appearing on either the left or right side of their path. To test for reward-induced biases in spatial orienting, targets on one side were associated with high reward, whereas those on the opposite side were paired with a low reward. Eye-movements recording showed that left-side high rewards led to subsequent increase of eye gaze fixations towards this side of the path, but no such asymmetry was found after exposure to right-sided high rewards. A milder spatial bias was also observed after left-side high rewards during subsequent exploration of a virtual castle yard, but not during route turn choices along the forest path. Our results indicate that reward-related influences on attention and behavior may be better learned in left than right space, in line with a right hemisphere dominance, and could generalize to another environment to some extent, but not to spatial choices in another decision task, suggesting some domain- or context-specificity. This proof-of-concept study also outlines the advantages and the possible drawbacks of the use of the 3D CAVE immersive platform for VR in neuroscience. © 2018 Bourgeois et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,"Adolescent; Adult; Attention; Cerebrum; Female; Fixation, Ocular; Functional Laterality; Humans; Learning; Male; Orientation, Spatial; Reward; Space Perception; Virtual Reality; adult; article; clinical article; controlled study; eye movement; female; forest; gaze; hemispheric dominance; human; human experiment; learning; male; neuroscience; proof of concept; reward; right hemisphere; virtual reality; visual attention; adolescent; anatomy and histology; attention; depth perception; eye fixation; learning; physiology; spatial orientation",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85058002614,Gaming / VR
Fang Y.; Zhang X.; Imamoglu N.,"Fang, Yuming (8435698900); Zhang, Xiaoqiang (57203362331); Imamoglu, Nevrez (38061650600)",8435698900; 57203362331; 38061650600,A novel superpixel-based saliency detection model for 360-degree images,2018,Signal Processing: Image Communication,69,,,1,7,6.0,38,10.1016/j.image.2018.07.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051383029&doi=10.1016%2fj.image.2018.07.009&partnerID=40&md5=879de84fee9e978a8ac0d0431820dbed,"Effective visual attention modeling is a key factor that helps enhance the overall Quality of Experience (QoE) of VR/AR data. Although a huge number of algorithms have been developed in recent years to detect salient regions in flat-2D images, the research on 360-degree image saliency is limited. In this study, we propose a superpixel-level saliency detection model for 360-degree images by figure-ground law of Gestalt theory. First, the input image is segmented into superpixels. CIE Lab color space is then used to extract the perceptual features. We extract luminance and texture features for 360-degree images from L channel, while color features are extracted from a and b channels. We compute two components for saliency prediction by figure-ground law of Gestalt theory: feature contrast and boundary connectivity. The feature contrast is computed on superpixel level by luminance and color features. The boundary connectivity is predicted for background measure and it describes the spatial layout of image region with two image boundaries (upper and lower boundary). The final saliency map of 360-degree image is calculated by fusing feature contrast map and boundary connectivity map. Experimental results on a public eye tracking database of 360-degree images show promising performance of saliency prediction from the proposed method. © 2018 Elsevier B.V.",360-degree image; Boundary connectivity; Figure-ground law; Gestalt theory; Saliency detection; Visual attention,Behavioral research; Color; Eye tracking; Image segmentation; Luminance; Pixels; Quality of service; 360-degree image; Boundary connectivity; Figure ground; Gestalt theory; Saliency detection; Visual Attention; Superpixels,Article,Final,,Scopus,2-s2.0-85051383029,Gaming / VR
Hashimura S.; Shimakawa H.; Kajiwara Y.,"Hashimura, Shota (57204808489); Shimakawa, Hiromitsu (8529351700); Kajiwara, Yusuke (54681995100)",57204808489; 8529351700; 54681995100,Automatic assessment of student understanding level using virtual reality,2018,"Proceedings of the 2018 Federated Conference on Computer Science and Information Systems, FedCSIS 2018",,,8511187,39,45,6.0,3,10.15439/2018F268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057246476&doi=10.15439%2f2018F268&partnerID=40&md5=a59e0c25c33e6d1afd52c0b77ddee4d7,"The improvement of the efficiency in teaching requires knowing the understanding level of each student. However, it is difficult due to limited time in a class. We propose a Virtual Reality (VR) space imposing assignments on students, to know their understanding level from their behavior which comes from cognitive loads during their answering. The VR space presents a student an assignment and a working space to answer it. In general, students solve assignments, using elements on their short term memory. When students solve same kind of assignments many times, they build generalized solution methods in their long term memory. When they engage in such assignments, their cognitive load is low enough to make them watch only the working spaces, keeping their hands working. On the other hand, when students have no solution pattern, their short term memory works hard. Their high cognitive load often stop their hands, because of confusion. They also look assignments and the working space many times, to reconsider solutions. Since answering behavior of students exposes their cognitive load, a VR space is ideal to estimate cognitive load. We conducted an experiment to evaluate the ability of the method to estimate the cognitive load. We examined the movement of the hand and the edit distance of student's answer from the correct sentence during their answering. We confirmed a fair correlation of the hands' stagnation with the confidence in students of good scores. We also found a relationship of eye movement with the change of the edit distance. The experiment result implies the possibility to estimate the cognitive load. The estimation would enable teachers to know students' understanding faults, which leads to education according to the understanding level. © 2018 Polish Information Processing Society.",,Brain; Eye movements; Information systems; Information use; Virtual reality; Automatic assessment; Cognitive loads; Edit distance; Generalized solution; Long term memory; Short term memory; Solution patterns; Understanding level; Students,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85057246476,Gaming / VR
