Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,Domain
Warren P.; Boers F.; Grimshaw G.; Siyanova-Chanturia A.,"Warren, Paul (56067713700); Boers, Frank (57064106600); Grimshaw, Gina (7004267866); Siyanova-Chanturia, Anna (37068026400)",56067713700; 57064106600; 7004267866; 37068026400,THE EFFECT of GLOSS TYPE on LEARNERS' INTAKE of NEW WORDS during READING: EVIDENCE from EYE-TRACKING,2018,Studies in Second Language Acquisition,40,4,,883,906,23.0,48,10.1017/S0272263118000177,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057792849&doi=10.1017%2fS0272263118000177&partnerID=40&md5=261804bbc6da0bbeadb236fbb90a4603,"A reading experiment combining online and offline data evaluates the effect on second language learners' reading behaviors and lexical uptake of three gloss types designed to clarify word meaning. These are (a) textual definition, (b) textual definition accompanied by picture, and (c) picture only. We recorded eye movements while intermediate learners of English read a story presented on-screen and containing six glossed pseudowords repeated three times each. Cumulative fixation counts and time spent on the pseudowords predicted posttest performance for form recall and meaning recognition, confirming findings of previous eye-tracking studies of vocabulary acquisition from reading. However, the total visual attention given to pseudowords and glosses was smallest in the condition with picture-only glosses, and yet this condition promoted best retention of word meaning. This suggests that gloss types differentially influence learners' processing of novel words in ways that may elude the quantitative measures of attention captured by eye-tracking. Copyright © Cambridge University Press 2018.",,,Article,Final,,Scopus,2-s2.0-85057792849,Movies / Media
Stolzenwald J.; Mayol-Cuevas W.W.,"Stolzenwald, Janis (57201691691); Mayol-Cuevas, Walterio W. (6507899137)",57201691691; 6507899137,I Can See Your Aim: Estimating User Attention from Gaze for Handheld Robot Collaboration,2018,IEEE International Conference on Intelligent Robots and Systems,,,8594184,3897,3904,7.0,4,10.1109/IROS.2018.8594184,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062938326&doi=10.1109%2fIROS.2018.8594184&partnerID=40&md5=2bac5b4f70ffb8c5d035ef7c2878363e,"This paper explores the estimation of user attention in the setting of a cooperative handheld robot - a robot designed to behave as a handheld tool but that has levels of task knowledge. We use a tool-mounted gaze tracking system, which, after modelling via a pilot study, we use as a proxy for estimating the attention of the user. This information is then used for cooperation with users in a task of selecting and engaging with objects on a dynamic screen. Via a video game setup, we test various degrees of robot autonomy from fully autonomous, where the robot knows what it has to do and acts, to no autonomy where the user is in full control of the task. Our results measure performance and subjective metrics and show how the attention model benefits the interaction and preference of users. © 2018 IEEE.",,Eye tracking; Interactive computer graphics; Attention model; Full control; Gaze tracking system; Hand-held tools; Pilot studies; Robot autonomy; Task knowledge; User attention; Intelligent robots,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85062938326,Movies / Media
Chan C.Y.H.; Chan A.B.; Lee T.M.C.; Hsiao J.H.,"Chan, Cynthia Y. H. (57196235612); Chan, Antoni B. (14015159100); Lee, Tatia M. C. (7501437381); Hsiao, Janet H. (7101605473)",57196235612; 14015159100; 7501437381; 7101605473,Eye-movement patterns in face recognition are associated with cognitive decline in older adults,2018,Psychonomic Bulletin and Review,25,6,,2200,2207,7.0,67,10.3758/s13423-017-1419-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057245591&doi=10.3758%2fs13423-017-1419-0&partnerID=40&md5=7dcc009166a8875a46f1cb5e1773028e,"The Hidden Markov Modeling approach for eye-movement data analysis is able to quantitatively assess differences and similarities among individual patterns. Here we applied this approach to examine the relationships between eye-movement patterns in face recognition and age-related cognitive decline. We found that significantly more older than young adults adopted “holistic” patterns, in which most eye fixations landed around the face center, as opposed to “analytic” patterns, in which eye movements switched among the two eyes and the face center. Participants showing analytic patterns had better performance than those with holistic patterns regardless of age. Interestingly, older adults with lower cognitive status (as assessed by the Montreal Cognitive Assessment), particularly in executive and visual attention functioning (as assessed by Tower of London and Trail Making Tests) were associated with a higher likelihood of holistic patterns. This result suggests the possibility of using eye movements as an easily deployable screening assessment for cognitive decline in older adults. © 2017, Psychonomic Society, Inc.",Aging; Cognitive ability; Eye movement; Face recognition; Hidden Markov Model (HMM),"Adolescent; Adult; Aged; Aged, 80 and over; Aging; Cognitive Dysfunction; Executive Function; Facial Recognition; Female; Fixation, Ocular; Humans; Male; Young Adult; adolescent; adult; aged; aging; cognitive defect; executive function; eye fixation; facial recognition; female; human; male; pathophysiology; physiology; very elderly; young adult",Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85057245591,Movies / Media
Navarro O.; Gonzalez A.L.; Molina A.I.,"Navarro, Oscar (57214505169); Gonzalez, Angel Luis (57205673495); Molina, Ana Isabel (34467788400)",57214505169; 57205673495; 34467788400,Experience of use of eye tracking technology with children who have attention problems,2018,"SIIE 2018 - 2018 International Symposium on Computers in Education, Proceedings",,,8586721,,,,1,10.1109/SIIE.2018.8586721,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061023802&doi=10.1109%2fSIIE.2018.8586721&partnerID=40&md5=81f16c5d57ed788b2c46d5634be0f39f,"The presence and need to integrate educational technology into the teaching process is becoming increasingly common in the pedagogical field. The presence of students who show difficulty focusing their attention on daily activities is also very common and can be an influencing factor on their academic performance. The objective of this research is to analyse the visual behaviour of fifth year primary education students with attention problems, and to assess the effect of this attention problems when different formats are presented. For this purpose, an eye tracking technique was used to record the differences that took place when students with and without attention difficulties were looking at a screen that presented images, text and videos. After analysing the data collected, it is concluded that there are some differences in the observation process of these students. In some cases there are only different observations when some formats (text and video) appear for the first time, while the main differences between the participating groups occur when the displayed contents contain images. © 2018 IEEE.",ADHD; attention problems; eye tracking; Primary Education,Students; Academic performance; ADHD; attention problems; Daily activity; Eye tracking technologies; Primary education; Teaching process; Eye tracking,Conference paper,Final,,Scopus,2-s2.0-85061023802,Movies / Media
Oda R.; Mizumatsu Y.; Kajinami T.,"Oda, Ryohei (57205472626); Mizumatsu, Yuto (57205468489); Kajinami, Tomoki (8506936800)",57205472626; 57205468489; 8506936800,An interface for post-match play-by-play analysis of a fighting game based on the two players' eye movements,2018,"SIGGRAPH Asia 2018 Posters, SA 2018",,,3283312,,,,1,10.1145/3283289.3283312,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060129998&doi=10.1145%2f3283289.3283312&partnerID=40&md5=5237235524b4af961de4b06f56a055cb,"In this paper, we propose an interface to support post-match play-by-play analysis of a hand-to-hand fighting game based on the two players' eye movements. In the domain of e-Sports, the ""fighting game"" genre refers to hand-to-hand combat games in which two players fight each other by manipulating their respective martial artist characters within the same game screen. An e-Sports match, like a professional chess match, is followed by analysis and commentary about the performance of the players. In this study, we constructed an interface for visualizing information about the match based on the players' eye movements to facilitate post-match play-by-play analysis and commentary. Our interface highlights commonalities and differences in the areas on the screen where the players focus their attention, as well as commonalities and differences in the direction of their eye movements. Copyright is held by the owner/author(s).",E-Sports; Eye movements; Fighting game; Play analysis,Interactive computer graphics; Sports; E-sports; Fighting games; Play analysis; Eye movements,Conference paper,Final,,Scopus,2-s2.0-85060129998,Movies / Media
Ibrahim F.N.; Zin Z.M.; Ibrahim N.,"Ibrahim, Farah Nadia (57204889647); Zin, Zalhan Mohd (36730188700); Ibrahim, Norazlin (55432531800)",57204889647; 36730188700; 55432531800,Eye Center Detection Using Combined Viola-Jones and Neural Network Algorithms,2018,"International Symposium on Agents, Multi-Agent Systems and Robotics 2018, ISAMSR 2018",,,8540543,,,,5,10.1109/ISAMSR.2018.8540543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059759363&doi=10.1109%2fISAMSR.2018.8540543&partnerID=40&md5=fca138267154845b64015ea2fd206368,"In eye tracking, calibration plays as a first crucial process towards detecting the eye. This process required the user's information to learn and maximize the accuracy of the eye tracking. Such that, various techniques can be used to detect and train eye gaze parameters. Thus, as the first step, the calibration points have been set on the user's screen display for the eye tracking process. The process of calibration is done by tracking the user's attention at 5 and 9 points of calibration process using a webcam. The circle detection of iris is used to determine the eye center coordinates. In this paper, the eye center coordinates are being extracted by using the well-known face detection algorithm which is Viola-Jones algorithm. Then, the coordinates will be trained as a data set for gaze location by using neural network algorithm. Results have shown that eye center can be well detected by using combination of both algorithms. © 2018 IEEE.",calibration; circle detection; eye center; eye tracking; neural network,Calibration; Face recognition; Multi agent systems; Neural networks; Robotics; Calibration points; Calibration process; Center detection; Circle detection; eye center; Face detection algorithm; Neural network algorithm; Viola - Jones algorithms; Eye tracking,Conference paper,Final,,Scopus,2-s2.0-85059759363,Movies / Media
Melnik A.; Schüler F.; Rothkopf C.A.; König P.,"Melnik, Andrew (57194009339); Schüler, Felix (57205186915); Rothkopf, Constantin A. (15078701200); König, Peter (7102563952)",57194009339; 57205186915; 15078701200; 7102563952,The world as an external memory: The price of saccades in a sensorimotor task,2018,Frontiers in Behavioral Neuroscience,12,,253,,,,22,10.3389/fnbeh.2018.00253,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058978498&doi=10.3389%2ffnbeh.2018.00253&partnerID=40&md5=431663984b4efdd9b65d87884969d1d8,"Theories of embodied cognition postulate that the world can serve as an external memory. This implies that instead of storing visual information in working memory the information may be equally retrieved by appropriate eye movements. Given this assumption, the question arises, how we balance the effort of memorization with the effort of visual sampling our environment. We analyzed eye-tracking data in a sensorimotor task where participants had to produce a copy of a LEGO®-blocks-model displayed on a computer screen. In the unconstrained condition, the model appeared immediately after eye-fixation on the model. In the constrained condition, we introduced a 0.7 s delay before uncovering the model. The model disappeared as soon as participants made a saccade outside of the Model Area. To successfully copy a model of 8 blocks participants made saccades to the Model Area on average 7.9 times in the unconstrained condition and 5.2 times in the constrained condition. However, the mean duration of a trial was 2.9 s (14%) longer in the constrained condition even when taking into account the delayed visibility of the model. In this study, we found evidence for an adaptive shift in subjects’ behavior toward memorization by introducing a price for a certain type of saccades. However, the response is not adaptive; it is maladaptive, as memorization leads to longer overall performance time. © 2018 Melnik, Schüler, Rothkopf and König.",Adaptive behavior; Embodied cognition; Eye-tracking; saccadic eye movements; Sensorimotor task; Short-term memory; Visual sampling; Working memory,adaptive behavior; adult; article; clinical article; controlled study; eye fixation; eye tracking; female; human; human experiment; male; saccadic eye movement; sampling; sensorimotor function; short term memory; visibility; working memory,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85058978498,Movies / Media
Colliot T.; Jamet É.,"Colliot, Tiphaine (57198815847); Jamet, Éric (7004278417)",57198815847; 7004278417,Understanding the effects of a teacher video on learning from a multimedia document: an eye-tracking study,2018,Educational Technology Research and Development,66,6,,1415,1433,18.0,59,10.1007/s11423-018-9594-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046545767&doi=10.1007%2fs11423-018-9594-x&partnerID=40&md5=0ac0f8d9c087a7d79e8fd9fba5024164,"The present study investigated the effects on students’ learning experience of adding a video of a teacher to an e-learning module. A total of 43 undergraduates were asked to learn the content of a pedagogical document either with or without a teacher video on the screen. Although video captures of teachers are increasingly being integrated into online courses, few studies have investigated their impact and the best way of optimizing them. According to the social-cue hypothesis, the presence of a teacher (face and gestures) positively influences learners’ motivation and engagement in their learning. By contrast, the interference hypothesis holds that the teacher’s presence can lead to poor performances, as it acts as a source of visual interference that diverts students’ attention away from the relevant information. By assessing subjective ratings and learning outcomes, the present study tended to support the social-cue hypothesis, as it showed that adding a teacher video on screen significantly improved students’ retention of the spoken explanations, without disturbing either their performances on diagram and transfer problems or the time needed to process the document. Eye-tracking data showed that students spent 25% of their time watching the teacher video. Adding this video had no significant observable effects on the subjective ratings (i.e., social presence, evaluation of the teacher’s motivational skills, situational interest, cognitive load). These results suggest that videos of teachers can be used to improve social cues in multimedia learning without creating interference effects. © 2018, Association for Educational Communications and Technology.",Cognitive load; Eye-tracking; Interference hypothesis; Multimedia learning; Social-cue hypothesis; Teacher video,,Article,Final,,Scopus,2-s2.0-85046545767,Movies / Media
Tang M.; Auffrey C.,"Tang, Ming (52464583400); Auffrey, Christopher (6506865112)",52464583400; 6506865112,"Advanced Digital Tools for Updating Overcrowded Rail Stations: Using Eye Tracking, Virtual Reality, and Crowd Simulation to Support Design Decision-making",2018,Urban Rail Transit,4,4,,249,256,7.0,15,10.1007/s40864-018-0096-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058847825&doi=10.1007%2fs40864-018-0096-2&partnerID=40&md5=a5a2b23ef7ced0cf02f4bd63d138f12f,"This paper describes an innovative integration of eye tracking (ET) with virtual reality (VR) and details the application of these combined technologies for the adaptive reuse redesign of the Wudaokou rail station in Beijing. The objective of the research is to develop a hybrid approach, combining ET and VR technologies, as part of an experimental study of how to improve wayfinding and pedestrian movement in crowded environments such as those found in urban subway stations during peak hours. Using ET analysis, design features such as edges, and color contrast are used to evaluate several proposed rail station redesigns. Through VR and screen-based ET, visual attention and related spatial responses are tracked and analyzed for the selected redesign elements. This paper assesses the potential benefits of using ET and VR to assist identification of station design elements that will improve wayfinding and pedestrian movement, and describes how the combination of VR and ET can influence the design process. The research concludes that the combination of VR and ET offers unique advantages for modeling how the design of rail transit hub interiors can influence the visual attention and movement behavior of those using the redesigned station. This is especially true for crowded conditions in complex interior spaces. The use of integrated ET and VR technology is shown to inform innovative design approaches for facilitating improved wayfinding and pedestrian movement within redesigned rail stations. © 2018, The Author(s).",Agent-based crowd simulation; Eye tracking; Signage; Urban rail station redesign; Virtual reality; Wayfinding,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85058847825,Movies / Media
Abdrabou Y.; Ismael S.; Khamis M.; Elmougy A.; Eisa R.M.,"Abdrabou, Yasmeen (57200212716); Ismael, Sherif (57193345198); Khamis, Mohamed (35243028400); Elmougy, Amr (16318622700); Eisa, Rana Mohamed (57199644986)",57200212716; 57193345198; 35243028400; 16318622700; 57199644986,eNGAGE: Resisting Shoulder surfing using Novel Gaze Gestures Authentication,2018,ACM International Conference Proceeding Series,,,,469,473,4.0,2,10.1145/3282894.3289741,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059991466&doi=10.1145%2f3282894.3289741&partnerID=40&md5=fd4e5cca1dde27e60cb0ad392202d478,"Most of the already existing authentication schemes are subject to multiple types of side-channel attacks such as shoulder surfing, smudge attacks, and thermal attacks. Meanwhile, motion sensors and eye trackers are becoming more accurate. We propose a novel authentication technique that leverages a combination of mid-air gestures and gaze input for shoulder surfing resilient authentication. The aim is to complicate shoulder surfing attacks by dividing the attacker’s attention onto 1) the user’s eyes, 2) hand-gestures, and 3) the screen. We report on the concept and implementation of the approach using both random and fixed layouts. © 2018 Association for Computing Machinery. All Rights Reserved.",Gaze; Gestures; Multimodal Authentication,Side channel attack; Authentication scheme; Authentication techniques; Gaze; Gestures; Motion sensors; Multimodal authentication; Shoulder surfing; Shoulder-surfing attacks; Authentication,Conference paper,Final,,Scopus,2-s2.0-85059991466,Movies / Media
